project,display_name,target_path,source_type,source_url,status
SharkNinja,FlexStyle concentrator,assets/shark/flexstyle-concentrator.jpg,original_needed,,needs_original
SharkNinja,FlexStyle full accessory lineup / curler,assets/shark/flexstyle-accessories-lineup.jpg,original_needed,,needs_original
SharkNinja,HyperAir first Shark Personal Care product / ionizer,assets/shark/hyperair-product.jpg,original_needed,,needs_original
SharkNinja,HyperAir accessory lineup,assets/shark/hyperair-accessories.jpg,original_needed,,needs_original
Intel Software,Intel Mission Control,assets/intel/mission-control-3d.jpg,wix,"https://static.wixstatic.com/media/e69878_da67445ded404653a1f88aa2c8ef7ba2~mv2.jpg/v1/fill/w_250%2Ch_150%2Cal_c%2Cq_90%2Cenc_auto/e69878_da67445ded404653a1f88aa2c8ef7ba2~mv2.jpg",identified_remote
Intel Software,Intel Mission Control Workflow,assets/intel/mission-control-workflow.png,wix,"https://static.wixstatic.com/media/e69878_2474aa748780439fb61ee30952d9732d~mv2.png/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_95%2Cenc_auto/e69878_2474aa748780439fb61ee30952d9732d~mv2.png",identified_remote
Intel Software,Intel Mission Control command and control,assets/intel/mission-control-control.jpg,wix,"https://static.wixstatic.com/media/e69878_9d1750efcbc34f878e9c33754c307edd~mv2.jpg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_9d1750efcbc34f878e9c33754c307edd~mv2.jpg",identified_remote
Intel Mechanical,Intel Drone Lightshow at 2018 Olympics,assets/intel/lightshow-olympics.jpg,wix,"https://static.wixstatic.com/media/e69878_fd723e9baeb448259cd2f27bd933272e~mv2.jpg/v1/fill/w_250%2Ch_156%2Cal_c%2Cq_90%2Cenc_auto/e69878_fd723e9baeb448259cd2f27bd933272e~mv2.jpg",identified_remote
Intel Mechanical,Intel Sirius Pro,assets/intel/sirius-pro.jpeg,wix,"https://static.wixstatic.com/media/e69878_c24483393a7d471cb2e7970e1b9560b1~mv2.jpeg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_c24483393a7d471cb2e7970e1b9560b1~mv2.jpeg",identified_remote
Intel Mechanical,Intel 50th Anniversary Drone Lightshow,assets/intel/lightshow-50th.jpg,wix,"https://static.wixstatic.com/media/e69878_50f6120fef904bd0982718bd78f4c1ee~mv2.jpg/v1/fill/w_250%2Ch_171%2Cal_c%2Cq_90%2Cenc_auto/e69878_50f6120fef904bd0982718bd78f4c1ee~mv2.jpg",identified_remote
Intel Mechanical,Intel Falcon 8+ UAV,assets/intel/falcon-8-plus.jpg,wix,"https://static.wixstatic.com/media/e69878_644723b69fb840d890f40a0e83838696~mv2.jpg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_644723b69fb840d890f40a0e83838696~mv2.jpg",identified_remote
Intel Mechanical,Intel Shooting Star Lightshow Drone,assets/intel/shooting-star.jpg,wix,"https://static.wixstatic.com/media/e69878_4bba684cafd44987a12e7cbc0ab48577~mv2.jpg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_4bba684cafd44987a12e7cbc0ab48577~mv2.jpg",identified_remote
Intel Mechanical,Intel Shooting Star Mini Lightshow Drone,assets/intel/shooting-star-mini.jpg,wix,"https://static.wixstatic.com/media/e69878_e53c71f602994db8a6131180ed2cb269~mv2.jpg/v1/fill/w_250%2Ch_187%2Cal_c%2Cq_90%2Cenc_auto/e69878_e53c71f602994db8a6131180ed2cb269~mv2.jpg",identified_remote
Intel Mechanical,Falcon 8+ at trade show,assets/intel/falcon-8-tradeshow.jpg,wix,"https://static.wixstatic.com/media/e69878_3117882c0ca946d0a0f1fcae0cf86d85~mv2.jpg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_3117882c0ca946d0a0f1fcae0cf86d85~mv2.jpg",identified_remote
Intel Mechanical,Intel Drone Lightshow animation,assets/intel/lightshow-animation.jpg,wix,"https://static.wixstatic.com/media/e69878_4a0f2f23e0624cbdb33684cadebd01a2~mv2.jpg/v1/fill/w_250%2Ch_171%2Cal_c%2Cq_90%2Cenc_auto/e69878_4a0f2f23e0624cbdb33684cadebd01a2~mv2.jpg",identified_remote
MAVinci,Custom CNC Mill,assets/mavinci/custom-cnc.jpg,wix,"https://static.wixstatic.com/media/e69878_6fd0d3afb83041738f8a8b795bb7f434~mv2.jpg/v1/fill/w_250%2Ch_187%2Cal_c%2Cq_90%2Cenc_auto/e69878_6fd0d3afb83041738f8a8b795bb7f434~mv2.jpg",identified_remote
MAVinci,Similar UAV prototyped on CNC mill,assets/mavinci/cnc-uav.jpeg,wix,"https://static.wixstatic.com/media/e69878_27d67677e48242d39427cba8aeff7034~mv2.jpg/v1/fill/w_250%2Ch_166%2Cal_c%2Cq_90%2Cenc_auto/e69878_27d67677e48242d39427cba8aeff7034~mv2.jpg",identified_remote
Boeing Sensorcraft,Complete 3m Sensorcraft,assets/sensorcraft/complete-aircraft.jpg,original_needed,,needs_original
Boeing Sensorcraft,Lightweight internal fuselage structure,assets/sensorcraft/internal-structure.jpg,original_needed,,needs_original
Boeing Sensorcraft,Fuselage CAD components render,assets/sensorcraft/fuselage-cad-render.jpg,original_needed,,needs_original
Boeing Sensorcraft,CNC drawing of internal fuselage structure,assets/sensorcraft/cnc-drawing.jpg,original_needed,,needs_original
Boeing Sensorcraft,Fully assembled Sensorcraft render,assets/sensorcraft/assembled-render.jpg,original_needed,,needs_original
UAV Launcher,Launcher,assets/launcher/launcher.jpg,wix,"https://static.wixstatic.com/media/e69878_9f1861119cf3459da9d1ab4916b9842b~mv2.jpg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_9f1861119cf3459da9d1ab4916b9842b~mv2.jpg",identified_remote
UAV Launcher,MATLAB Simulink Model,assets/launcher/simulink-model.jpg,wix,"https://static.wixstatic.com/media/e69878_5bcd21b8c4374dfeb32a81d8552a450f~mv2.jpg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_5bcd21b8c4374dfeb32a81d8552a450f~mv2.jpg",identified_remote
UAV Launcher,QT-1 on launcher,assets/launcher/qt1-launcher.jpg,wix,"https://static.wixstatic.com/media/e69878_388566e65da644b697788f5bf76a1286~mv2.jpg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_388566e65da644b697788f5bf76a1286~mv2.jpg",identified_remote
UAV Launcher,Hook Stress Simulation,assets/launcher/hook-stress-fea.jpg,wix,"https://static.wixstatic.com/media/e69878_91f870ebc345453a8618956723f6893d~mv2.jpg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_91f870ebc345453a8618956723f6893d~mv2.jpg",identified_remote
IOS MATLAB,MATLAB Heat Flux Simulation,assets/matlab/heat-flux-simulation.jpg,wix,"https://static.wixstatic.com/media/e69878_73fd03e9e26f425c9999c4ce52cdacfe~mv2.jpg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_73fd03e9e26f425c9999c4ce52cdacfe~mv2.jpg",identified_remote
IOS MATLAB,MATLAB Node Distribution,assets/matlab/node-distribution.jpg,wix,"https://static.wixstatic.com/media/e69878_982dfe3cb2b8480d85001970aac89462~mv2.jpg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_982dfe3cb2b8480d85001970aac89462~mv2.jpg",identified_remote
Masters,Python Model in Jupyter Notebooks,assets/masters/python-jupyter.jpg,wix,"https://static.wixstatic.com/media/e69878_c0250e29b093473e8b1334e7b09d7e67~mv2.jpg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_c0250e29b093473e8b1334e7b09d7e67~mv2.jpg",identified_remote
Masters,Zinc-air Battery Schematic,assets/masters/zinc-air-schematic.jpg,wix,"https://static.wixstatic.com/media/e69878_1314543bd5c0413a8dfdebd5188cd68e~mv2.jpg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_1314543bd5c0413a8dfdebd5188cd68e~mv2.jpg",identified_remote
Masters,System Block Diagram,assets/masters/system-block-diagram.jpg,wix,"https://static.wixstatic.com/media/e69878_9fe6e23d0c9a49a2854207c3f75ec8fc~mv2.jpg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_9fe6e23d0c9a49a2854207c3f75ec8fc~mv2.jpg",identified_remote
Masters,Cell Potential,assets/masters/cell-potential.jpg,wix,"https://static.wixstatic.com/media/e69878_098d126589c34372ab3455bd61302624~mv2.jpg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_098d126589c34372ab3455bd61302624~mv2.jpg",identified_remote
Masters,Thermal Analysis,assets/masters/thermal-analysis.jpg,wix,"https://static.wixstatic.com/media/e69878_d4c7794557da4cf8aa47852cf0fe0f30~mv2.jpg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_d4c7794557da4cf8aa47852cf0fe0f30~mv2.jpg",identified_remote
UVic AERO,UAV In Flight,assets/aero/uav-in-flight.jpg,wix,"https://static.wixstatic.com/media/e69878_5daba0567a3e456582aa69f53e5be188~mv2.jpg/v1/fill/w_250%2Ch_166%2Cal_c%2Cq_90%2Cenc_auto/e69878_5daba0567a3e456582aa69f53e5be188~mv2.jpg",identified_remote
UVic AERO,MDF Tooling for Composite Aircraft,assets/aero/mdf-tooling.jpg,wix,"https://static.wixstatic.com/media/e69878_1a3ec6c1541a40d4bb52abfdca36eed9~mv2.jpg/v1/fill/w_250%2Ch_187%2Cal_c%2Cq_90%2Cenc_auto/e69878_1a3ec6c1541a40d4bb52abfdca36eed9~mv2.jpg",identified_remote
UVic AERO,Composite Layup and Vacuum Infusion,assets/aero/composite-layup.jpg,wix,"https://static.wixstatic.com/media/e69878_ba1d9ce16de6456bbb005b69d3b9c5f7~mv2.jpg/v1/fill/w_250%2Ch_333%2Cal_c%2Cq_90%2Cenc_auto/e69878_ba1d9ce16de6456bbb005b69d3b9c5f7~mv2.jpg",identified_remote
UVic AERO,Snitch V2 Drag,assets/aero/snitch-v2-drag.jpg,wix,"https://static.wixstatic.com/media/e69878_d7b5afb0d8bb4ccc8648b68751f29550~mv2.jpg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_d7b5afb0d8bb4ccc8648b68751f29550~mv2.jpg",identified_remote
UVic AERO,CNC Machined Support Structures,assets/aero/cnc-support-structures.jpg,wix,"https://static.wixstatic.com/media/e69878_87dd966735d24ba8b7f64ab6861b1d79~mv2.jpg/v1/fill/w_250%2Ch_187%2Cal_c%2Cq_90%2Cenc_auto/e69878_87dd966735d24ba8b7f64ab6861b1d79~mv2.jpg",identified_remote
UVic AERO,Wing Loading,assets/aero/wing-loading.jpg,wix,"https://static.wixstatic.com/media/e69878_dea0b2c14cc5469b8679c126a7e8bfd5~mv2.jpg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_dea0b2c14cc5469b8679c126a7e8bfd5~mv2.jpg",identified_remote
UVic AERO,SolidWorks CAD Model of UAV,assets/aero/solidworks-cad.jpg,wix,"https://static.wixstatic.com/media/e69878_b4ee2dd0b60c4d8dab2a71ae79dc9d29~mv2.jpg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_b4ee2dd0b60c4d8dab2a71ae79dc9d29~mv2.jpg",identified_remote
Bikes,Alu Road Bike,assets/bikes/alu-road-bike.jpg,wix,"https://static.wixstatic.com/media/e69878_40e4f66b124c4072805924b32fe41ef7~mv2.jpg/v1/fill/w_250%2Ch_187%2Cal_c%2Cq_90%2Cenc_auto/e69878_40e4f66b124c4072805924b32fe41ef7~mv2.jpg",identified_remote
Bikes,Carbon Frame getting Painted,assets/bikes/carbon-frame-painted.jpg,wix,"https://static.wixstatic.com/media/e69878_5178e82e46ca4370b42b1f002f235211~mv2.jpg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_5178e82e46ca4370b42b1f002f235211~mv2.jpg",identified_remote
Bikes,Alu Frame Road Bike,assets/bikes/alu-road-bike-assembled.jpg,wix,"https://static.wixstatic.com/media/e69878_611ae297e3424c51bf8b17165753aab5~mv2.jpg/v1/fill/w_250%2Ch_187%2Cal_c%2Cq_90%2Cenc_auto/e69878_611ae297e3424c51bf8b17165753aab5~mv2.jpg",identified_remote
Bikes,Bianchi Commuter Road Bike,assets/bikes/bianchi-commuter.jpeg,wix,"https://static.wixstatic.com/media/e69878_ad8cfa19f72848e9ac442e04c095275c~mv2.jpeg/v1/fill/w_250%2Ch_140%2Cal_c%2Cq_90%2Cenc_auto/e69878_ad8cfa19f72848e9ac442e04c095275c~mv2.jpeg",identified_remote
Bikes,Carbon Road Bike,assets/bikes/carbon-road-bike.jpeg,wix,"https://static.wixstatic.com/media/e69878_f012cbd1ea354b6f990cf7f593b029db~mv2.jpeg/v1/fill/w_250%2Ch_187%2Cal_c%2Cq_90%2Cenc_auto/e69878_f012cbd1ea354b6f990cf7f593b029db~mv2.jpeg",identified_remote
